"timestamp","bbMiddle","bbUpper","bbLower","bbPb","ema55","ema400","ema800","macd","signal","histogram","kalman","slope","support","resistance","trend","spikes"
"2025-01-12T06:00:00.000Z",94597.575,94906.99515786588,94288.15484213411,0.3266677246566253,94481.22723730892,95628.75127779314,96208.97549064195,-1078.8419328051968,-1314.2824823902752,235.44054958507832,94296.90347775366,104883.52808899754,90096.37989747759,120154.23003119236,140.44312921905657,
"2025-01-12T05:30:00.000Z",94596.802,94908.00649663364,94285.59750336636,0.4540944936383165,94480.85651230112,95634.45775036354,96213.27753192016,-1054.7487328816205,-1323.8923007406866,269.143567859066,94283.56989242714,104875.28161400856,90089.46568289479,120145.78734050949,122.67339644749882,
"2025-01-12T05:00:00.000Z",94580.63,94946.25437230716,94215.00562769285,0.5179829368554063,94477.29024749709,95639.80225036536,96217.39529795751,-1054.3537241424929,-1334.877752490036,280.5240283475432,94267.36487192978,104867.03513901957,90082.551468312,120137.34464982661,117.91009072039742,
"2025-01-12T04:30:00.000Z",94563.49049999999,94970.61231035554,94156.36868964443,0.5245497778448087,94472.53556372147,95645.04546966545,96221.4594163504,-1063.7626803311578,-1346.3277128307523,282.5650324995945,94250.74306759116,104858.78866403058,90075.6372537292,120128.90195914374,122.10565408458933,
"2025-01-12T04:00:00.000Z",94548.1415,94983.90457713272,94112.37842286727,0.5938566210545305,94468.00721938357,95650.36659983921,96225.55948998331,-1070.1824158377713,-1357.8609794633887,287.67856362561747,94235.35384154921,104850.5421890416,90068.72303914641,120120.45926846087,112.08790233940817,
"2025-01-12T03:30:00.000Z",94531.22699999998,94985.72574821746,94076.72825178251,0.5962851936812553,94461.39771813391,95655.48152013916,96229.55353125987,-1100.175244137019,-1369.6029616521894,269.42771751517034,94218.94063606455,104842.29571405261,90061.80882456362,120112.016577778,116.46003344940254,
"2025-01-12T03:00:00.000Z",94507.92199999999,95003.47061256238,94012.3733874376,0.4432527923858148,94454.97517601692,95660.67816936292,96233.58558014913,-1137.0937553597032,-1380.6000113466862,243.50625598698298,94204.11698984662,104834.04923906364,90054.89460998082,120103.57388709513,159.98018252284965,
"2025-01-12T02:30:00.000Z",94490.74250000001,95031.75391651974,93949.73108348028,0.6229618229277551,94455.10967299719,95666.73831056274,96238.04591952372,-1107.201689557929,-1390.5390422032976,283.3373526453686,94197.38812435251,104825.80276407464,90047.98039539803,120095.13119641226,118.71204183844384,
"2025-01-12T02:00:00.000Z",94482.09850000001,95018.00000245143,93946.19699754858,0.5594619530906908,94448.22476169096,95671.96612164326,96242.08661018586,-1144.5561901360343,-1402.1038321071903,257.54764197115605,94184.43054757734,104817.55628908565,90041.06618081524,120086.68850572938,139.88436280196765,
"2025-01-12T01:30:00.000Z",94476.53799999999,95011.73173411643,93941.34426588354,0.5954906545839486,94444.24087441304,95677.61091423295,96246.33255914753,-1159.4110169721098,-1412.6159807590743,253.20496378696453,94176.09846806133,104809.30981409668,90034.15196623244,120078.24581504651,133.39006425521802,
"2025-01-12T01:00:00.000Z",94468.204,95001.15075645181,93935.25724354819,0.3939068503269639,94438.75070602172,95683.11898899102,96250.50673326304,-1195.1941430997686,-1422.9508772401748,227.75673414040625,94167.72125389932,104801.06333910768,90027.23775164965,120069.80312436364,191.22392064746236,
"2025-01-12T00:30:00.000Z",94473.0455,95002.16935828337,93943.92164171662,0.48364702353799405,94442.16420422669,95689.77562552731,96255.25113059286,-1135.4483566904382,-1432.2470704703953,296.7987137799571,94170.04511808825,104792.81686411871,90020.32353706684,120061.36043368076,168.12338963063667,
"2025-01-12T00:00:00.000Z",94481.05600000001,95015.71402074785,93946.39797925217,0.5368497230667929,94441.61009011349,95695.96126776053,96259.75553892978,-1092.3403645052313,-1444.3613036859037,352.0209391806725,94169.18020568094,104784.57038912972,90013.40932248405,120052.9177429979,153.8555982609978,
"2025-01-11T23:30:00.000Z",94474.38200000001,95010.90908759671,93937.85491240332,0.6197311403003797,94438.39172644466,95701.85350469167,96264.1092198783,-1056.6521498087386,-1458.7295052851148,402.07735547637617,94166.92242041396,104776.32391414072,90006.49510790125,120044.47505231503,135.0418421003269,
